Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ogmore Vale/Nantymoel,51.623653258495494,-3.539781898162561,The Clock,51.61793864488511,-3.535358138789322,Scenic Lookout
Ogmore Vale/Nantymoel,51.623653258495494,-3.539781898162561,Ruchi,51.6353968,-3.5474278,Indonesian Restaurant
Ogmore Vale/Nantymoel,51.623653258495494,-3.539781898162561,The Bwlch,51.64013732199395,-3.5340715364156243,Other Great Outdoors
Ogmore Vale/Nantymoel,51.623653258495494,-3.539781898162561,Maindy Mountain,51.64721,-3.540868,Mountain
Ogmore Vale/Nantymoel,51.623653258495494,-3.539781898162561,Pant-y-Wal Wind Farm,51.6108619767976,-3.501833751600611,Windmill
Ruthin,53.11440330800008,-3.3104598979999764,Ruthin Castle Hotel,53.111734558090625,-3.3120001901254605,Hotel
Ruthin,53.11440330800008,-3.3104598979999764,B&M Store,53.1146618,-3.3065795,Discount Store
Ruthin,53.11440330800008,-3.3104598979999764,Costa Coffee,53.114532,-3.309915,Coffee Shop
Ruthin,53.11440330800008,-3.3104598979999764,Co-op Food,53.11465322093228,-3.3073046402096606,Grocery Store
Ruthin,53.11440330800008,-3.3104598979999764,The Castle Hotel (Wetherspoon),53.114670806066364,-3.310172386898299,Pub
Ruthin,53.11440330800008,-3.3104598979999764,The Moat Spa,53.11176902636344,-3.3123505884588123,Spa
Glyn-neath,51.74633407700003,-3.6216711219999524,Waterfalls Centre,51.75647007120367,-3.593959735286069,Waterfall
Glyn-neath,51.74633407700003,-3.6216711219999524,Co-op Food,51.7465408002129,-3.6205060077079287,Grocery Store
Glyn-neath,51.74633407700003,-3.6216711219999524,Next,51.74690441,-3.62327474,Clothing Store
Glyn-neath,51.74633407700003,-3.6216711219999524,Tesco Express,51.744653662893384,-3.6293479800224304,Grocery Store
Glyn-neath,51.74633407700003,-3.6216711219999524,Vale of Neath Leisure Centre,51.74075574755833,-3.6381590366363525,Gym / Fitness Center
Glyn-neath,51.74633407700003,-3.6216711219999524,The Angel,51.7566248,-3.5940762,Pub
Glyn-neath,51.74633407700003,-3.6216711219999524,VW Sports therapy Massage,51.7346621,-3.6438813,Spa
Glyn-neath,51.74633407700003,-3.6216711219999524,McDonald's,51.737282,-3.64198,Fast Food Restaurant
Cwmavon,51.75134158600008,-3.0618100209999284,Blaenavon,51.77419019121425,-3.084100851415416,Neighborhood
Cwmavon,51.75134158600008,-3.0618100209999284,Co-op Food,51.77252273667008,-3.0855515827020197,Grocery Store
Cwmavon,51.75134158600008,-3.0618100209999284,Plumber Now,51.7374184,-3.0688345,Construction & Landscaping
Cwmavon,51.75134158600008,-3.0618100209999284,"Blaenavon, Oakfield B&B",51.769513018818216,-3.08441162109375,Bed & Breakfast
Llandrindod Wells,52.241242416000034,-3.377777465999941,Tesco,52.2444615,-3.3786184,Supermarket
Llandrindod Wells,52.241242416000034,-3.377777465999941,The Metropole Hotel,52.2400710733447,-3.377562470942439,Hotel
Llandrindod Wells,52.241242416000034,-3.377777465999941,Hotel Commodore,52.2398827,-3.379924,Hotel
Llandrindod Wells,52.241242416000034,-3.377777465999941,Ashfield Community Enterprise,52.222996,-3.391391,Organic Grocery
Cardigan,52.08360016800003,-4.660874136999951,Pizza Tipi,52.08133083923513,-4.6624704759421745,Pizza Place
Cardigan,52.08360016800003,-4.660874136999951,The Grosvenor,52.081252011862205,-4.661490632560873,Pub
Cardigan,52.08360016800003,-4.660874136999951,Ferry Inn,52.087587,-4.681963,Pub
Cardigan,52.08360016800003,-4.660874136999951,fforest,52.06242533107795,-4.644877910614014,Campground
Cardigan,52.08360016800003,-4.660874136999951,WHSmith,52.08332903784453,-4.661330104549165,Stationery Store
Cardigan,52.08360016800003,-4.660874136999951,Cardigan Market,52.083903546749035,-4.661341372082399,Market
Cardigan,52.08360016800003,-4.660874136999951,Aldi,52.08767130198385,-4.6521236931860575,Supermarket
Cardigan,52.08360016800003,-4.660874136999951,St Dogmaels Abbey,52.08068511285324,-4.679572331212123,Spiritual Center
Gresford,53.08509779600007,-2.9721834009999384,Pant-yr-Ochain,53.073647399004116,-2.9773753881454468,Gastropub
Gresford,53.08509779600007,-2.9721834009999384,Premier Inn Wrexham North (A483),53.079882333783104,-2.9829573466989814,Hotel
Gresford,53.08509779600007,-2.9721834009999384,The Acton Park,53.060879566326996,-2.9897499754042163,Pub
Gresford,53.08509779600007,-2.9721834009999384,Co-op Food,53.05967559067908,-2.9712363357310845,Grocery Store
Gresford,53.08509779600007,-2.9721834009999384,Co-op Food,53.09476173846101,-2.9970788955688477,Grocery Store
Gresford,53.08509779600007,-2.9721834009999384,Alyn Hotel,53.107215299584794,-2.9501714981848086,Pub
Gresford,53.08509779600007,-2.9721834009999384,Crown Inn,53.09974278367784,-2.99801766872406,Pub
Gresford,53.08509779600007,-2.9721834009999384,Trevor Arms,53.099771666976956,-2.9583650925092093,Pub
Gresford,53.08509779600007,-2.9721834009999384,Croes Howell,53.10321037158303,-2.980363368988037,Restaurant
Gresford,53.08509779600007,-2.9721834009999384,Acton Park,53.06174689004725,-2.978496551513672,Park
Gresford,53.08509779600007,-2.9721834009999384,Llay Miners Welfare,53.09688501918823,-3.0032007037306907,Event Space
